//Enregistrements de dessins et modèles industriels par office,
"//par résident direct, non-résident direct et système de la Haye",
//Source : base de données statistiques de l’OMPI, décembre 2011
//Note: Des données peuvent manquer pour certains offices ou pour certaines années.,

Année,Nom'Office,Code'Office,Type'enregistrant,Nombre'enregistrements
1910,"Allemagne","DE","Directs_globaux",206730
1910,"Hongrie","HU","Directs_globaux",1287
1910,"Italie","IT","Directs_globaux",97
1910,"Japon","JP","Directs_globaux",609
1910,"Mexique","MX","Directs_globaux",69
1910,"Nouvelle-Zélande","NZ","Directs_globaux",46
1910,"Portugal","PT","Directs_globaux",17
1910,"Espagne","ES","Directs_globaux",94
1910,"Suède","SE","Directs_globaux",35
1910,"Suisse","CH","Résident_direct",305385
1910,"Suisse","CH","NonRésident_direct",2599
1910,"Royaume-Uni","GB","Directs_globaux",32212
1910,"États-Unis d'Amérique","US","Directs_globaux",636
1911,"Australie","AU","Directs_globaux",191
1911,"Autriche","AT","Directs_globaux",12432
1911,"Belgique","BE","Directs_globaux",363
1911,"Canada","CA","Directs_globaux",118
1911,"Cuba","CU","Directs_globaux",3
1911,"Danemark","DK","Directs_globaux",529
1911,"France","FR","Directs_globaux",53854
1911,"Allemagne","DE","Directs_globaux",193861
1911,"Hongrie","HU","Directs_globaux",926
1911,"Italie","IT","Résident_direct",110
1911,"Italie","IT","NonRésident_direct",39
1911,"Japon","JP","Directs_globaux",886
1911,"Mexique","MX","Directs_globaux",68
1911,"Nouvelle-Zélande","NZ","Directs_globaux",21
1911,"Norvège","NO","Directs_globaux",280
1911,"Portugal","PT","Directs_globaux",8
1911,"Espagne","ES","Directs_globaux",112
1911,"Suède","SE","Directs_globaux",30
1911,"Suisse","CH","Directs_globaux",341597
1911,"Tunisie","TN","Directs_globaux",28
1911,"Royaume-Uni","GB","Directs_globaux",41581
1911,"États-Unis d'Amérique","US","Directs_globaux",1004
1912,"Australie","AU","Directs_globaux",193
1912,"Autriche","AT","Directs_globaux",12638
1912,"Belgique","BE","Directs_globaux",404
1912,"Canada","CA","Directs_globaux",149
1912,"Danemark","DK","Directs_globaux",884
1912,"France","FR","Directs_globaux",55884
1912,"Allemagne","DE","Directs_globaux",174966
1912,"Hongrie","HU","Directs_globaux",12896
1912,"Italie","IT","Résident_direct",148
1912,"Italie","IT","NonRésident_direct",48
1912,"Japon","JP","Directs_globaux",845
1912,"Mexique","MX","Directs_globaux",24
1912,"Nouvelle-Zélande","NZ","Directs_globaux",41
1912,"Norvège","NO","Directs_globaux",225
1912,"Portugal","PT","Directs_globaux",32
1912,"Espagne","ES","Directs_globaux",116
1912,"Suède","SE","Directs_globaux",23
1912,"Suisse","CH","Résident_direct",339569
1912,"Suisse","CH","NonRésident_direct",2953
1912,"Tunisie","TN","Directs_globaux",34
1912,"Royaume-Uni","GB","Directs_globaux",42077
1912,"États-Unis d'Amérique","US","Directs_globaux",1341
1913,"Australie","AU","Directs_globaux",268
1913,"Autriche","AT","Directs_globaux",13269
1913,"Belgique","BE","Directs_globaux",394
1913,"Canada","CA","Directs_globaux",128
1913,"Danemark","DK","Directs_globaux",812
1913,"France","FR","Directs_globaux",53713
1913,"Allemagne","DE","Directs_globaux",183426
1913,"Hongrie","HU","Directs_globaux",13158
1913,"Italie","IT","Résident_direct",123
1913,"Italie","IT","NonRésident_direct",47
1913,"Japon","JP","Directs_globaux",1207
1913,"Nouvelle-Zélande","NZ","Directs_globaux",56
1913,"Norvège","NO","Directs_globaux",242
1913,"Portugal","PT","Directs_globaux",38
1913,"Espagne","ES","Directs_globaux",205
1913,"Suède","SE","Directs_globaux",12
1913,"Suisse","CH","Résident_direct",473102
1913,"Suisse","CH","NonRésident_direct",10443
1913,"Tunisie","TN","Directs_globaux",47
1913,"Royaume-Uni","GB","Directs_globaux",39275
1913,"États-Unis d'Amérique","US","Directs_globaux",1677
1914,"Australie","AU","Directs_globaux",220
1914,"Autriche","AT","Directs_globaux",11004
1914,"Belgique","BE","Directs_globaux",421
1914,"Canada","CA","Directs_globaux",165
1914,"Cuba","CU","Directs_globaux",5
1914,"Danemark","DK","Directs_globaux",609
1914,"France","FR","Directs_globaux",31521
1914,"Allemagne","DE","Directs_globaux",131755
1914,"Hongrie","HU","Directs_globaux",10898
1914,"Italie","IT","Résident_direct",107
1914,"Italie","IT","NonRésident_direct",43
1914,"Japon","JP","Directs_globaux",2037
1914,"Nouvelle-Zélande","NZ","Directs_globaux",46
1914,"Norvège","NO","Directs_globaux",252
1914,"Portugal","PT","Directs_globaux",27
1914,"Espagne","ES","Directs_globaux",200
1914,"Suède","SE","Directs_globaux",32
1914,"Suisse","CH","Résident_direct",414737
1914,"Suisse","CH","NonRésident_direct",8316
1914,"Tunisie","TN","Directs_globaux",9
1914,"Royaume-Uni","GB","Directs_globaux",33362
1914,"États-Unis d'Amérique","US","Directs_globaux",1711
1915,"Australie","AU","Directs_globaux",268
1915,"Autriche","AT","Directs_globaux",4421
1915,"Belgique","BE","Directs_globaux",188
1915,"Canada","CA","Directs_globaux",224
1915,"Danemark","DK","Directs_globaux",891
1915,"France","FR","Directs_globaux",10013
1915,"Hongrie","HU","Directs_globaux",4567
1915,"Italie","IT","Résident_direct",207
1915,"Italie","IT","NonRésident_direct",19
1915,"Japon","JP","Directs_globaux",1663
1915,"Mexique","MX","Directs_globaux",6
1915,"Nouvelle-Zélande","NZ","Directs_globaux",75
1915,"Norvège","NO","Directs_globaux",269
1915,"Portugal","PT","Directs_globaux",4
1915,"Espagne","ES","Directs_globaux",125
1915,"Suède","SE","Directs_globaux",36
1915,"Suisse","CH","Résident_direct",350189
1915,"Suisse","CH","NonRésident_direct",497
1915,"Tunisie","TN","Résident_direct",2
1915,"Royaume-Uni","GB","Directs_globaux",17390
1915,"États-Unis d'Amérique","US","Directs_globaux",1538
1916,"Australie","AU","Directs_globaux",253
1916,"Autriche","AT","Directs_globaux",3307
1916,"Belgique","BE","Directs_globaux",144
1916,"Canada","CA","Directs_globaux",200
1916,"Danemark","DK","Directs_globaux",369
1916,"France","FR","Directs_globaux",11896
1916,"Allemagne","DE","Directs_globaux",29981
1916,"Hongrie","HU","Directs_globaux",3364
1916,"Italie","IT","Résident_direct",48
1916,"Italie","IT","NonRésident_direct",12
1916,"Japon","JP","Directs_globaux",1479
1916,"Mexique","MX","Directs_globaux",18
1916,"Nouvelle-Zélande","NZ","Directs_globaux",84
1916,"Norvège","NO","Directs_globaux",150
1916,"Portugal","PT","Directs_globaux",96
1916,"Espagne","ES","Directs_globaux",206
1916,"Suède","SE","Directs_globaux",40
1916,"Suisse","CH","Résident_direct",397078
1916,"Suisse","CH","NonRésident_direct",93
1916,"Tunisie","TN","Directs_globaux",5
1916,"Royaume-Uni","GB","Directs_globaux",14766
1916,"États-Unis d'Amérique","US","Directs_globaux",1745
1917,"Australie","AU","Directs_globaux",235
1917,"Autriche","AT","Directs_globaux",2303
1917,"Belgique","BE","Directs_globaux",135
1917,"Canada","CA","Directs_globaux",196
1917,"Danemark","DK","Directs_globaux",632
1917,"France","FR","Directs_globaux",9631
1917,"Allemagne","DE","Directs_globaux",10327
1917,"Hongrie","HU","Directs_globaux",2470
1917,"Italie","IT","Résident_direct",27
1917,"Italie","IT","NonRésident_direct",7
1917,"Japon","JP","Directs_globaux",867
1917,"Mexique","MX","Directs_globaux",31
1917,"Nouvelle-Zélande","NZ","Directs_globaux",71
1917,"Norvège","NO","Directs_globaux",197
1917,"Portugal","PT","Directs_globaux",79
1917,"Espagne","ES","Directs_globaux",180
1917,"Suède","SE","Directs_globaux",15
1917,"Suisse","CH","Résident_direct",250616
1917,"Suisse","CH","NonRésident_direct",34
1917,"Tunisie","TN","Directs_globaux",7
1917,"Royaume-Uni","GB","Directs_globaux",12729
1917,"États-Unis d'Amérique","US","Directs_globaux",1505
1918,"Australie","AU","Directs_globaux",223
1918,"Autriche","AT","Directs_globaux",2076
1918,"Belgique","BE","Directs_globaux",62
1918,"Canada","CA","Directs_globaux",177
1918,"Cuba","CU","Directs_globaux",1
1918,"Danemark","DK","Directs_globaux",954
1918,"France","FR","Directs_globaux",6535
1918,"Allemagne","DE","Directs_globaux",7650
1918,"Hongrie","HU","Directs_globaux",1926
1918,"Italie","IT","Résident_direct",81
1918,"Italie","IT","NonRésident_direct",9
1918,"Japon","JP","Directs_globaux",1169
1918,"Mexique","MX","Directs_globaux",36
1918,"Nouvelle-Zélande","NZ","Directs_globaux",53
1918,"Norvège","NO","Directs_globaux",302
1918,"Portugal","PT","Directs_globaux",51
1918,"Espagne","ES","Directs_globaux",171
1918,"Suède","SE","Directs_globaux",30
1918,"Suisse","CH","Résident_direct",178126
1918,"Suisse","CH","NonRésident_direct",194
1918,"Tunisie","TN","Directs_globaux",9
1918,"Royaume-Uni","GB","Directs_globaux",9597
1918,"États-Unis d'Amérique","US","Directs_globaux",1206
1919,"Australie","AU","Directs_globaux",199
1919,"Autriche","AT","Directs_globaux",1876
1919,"Belgique","BE","Directs_globaux",206
1919,"Canada","CA","Directs_globaux",169
1919,"Tchécoslovaquie","CS","Directs_globaux",928
1919,"Danemark","DK","Directs_globaux",637
1919,"France","FR","Directs_globaux",13493
1919,"Allemagne","DE","Directs_globaux",16195
1919,"Hongrie","HU","Directs_globaux",102
1919,"Italie","IT","Résident_direct",71
1919,"Italie","IT","NonRésident_direct",13
1919,"Japon","JP","Directs_globaux",1421
1919,"Mexique","MX","Directs_globaux",49
1919,"Maroc","MA","Directs_globaux",3
1919,"Norvège","NO","Directs_globaux",279
1919,"Portugal","PT","Directs_globaux",30
1919,"Espagne","ES","Directs_globaux",199
1919,"Suède","SE","Directs_globaux",28
1919,"Suisse","CH","Résident_direct",181444
1919,"Suisse","CH","NonRésident_direct",135
1919,"Tunisie","TN","Directs_globaux",3
1919,"Royaume-Uni","GB","Directs_globaux",13049
1919,"États-Unis d'Amérique","US","Directs_globaux",1521
1920,"Australie","AU","Directs_globaux",233
1920,"Autriche","AT","Directs_globaux",2130
1920,"Belgique","BE","Directs_globaux",349
1920,"Canada","CA","Directs_globaux",186
1920,"Tchécoslovaquie","CS","Directs_globaux",1519
1920,"Danemark","DK","Directs_globaux",729
1920,"France","FR","Directs_globaux",2208
1920,"Allemagne","DE","Directs_globaux",24975
1920,"Hongrie","HU","Directs_globaux",448
1920,"Italie","IT","Résident_direct",130
1920,"Italie","IT","NonRésident_direct",26
1920,"Japon","JP","Directs_globaux",1307
1920,"Mexique","MX","Directs_globaux",62
1920,"Maroc","MA","Directs_globaux",3
1920,"Norvège","NO","Directs_globaux",324
