//Solicitudes de registro de diseños industriales por oficina,
"//por directamente por residentes, directamente por no residentes y sistema de La Haya",
//Fuente:  Base de datos de estadísticas de la OMPI, diciembre 2011
//Nota: Es probable que falten datos relativos a algunas oficinas o respecto de ciertos períodos.,

Año,Nombre'Oficina,Código'Oficina,Tipo de solicitante,Número de solicitudes
1912,"Túnez","TN","Directamente total",34
1912,"Reino Unido","GB","Directamente total",43015
1912,"Estados Unidos de América","US","Directamente total",1850
1913,"Australia","AU","Directamente total",301
1913,"Austria","AT","Directamente total",13269
1913,"Bélgica","BE","Directamente total",394
1913,"Cuba","CU","Directamente total",9
1913,"Dinamarca","DK","Directamente total",869
1913,"Francia","FR","Directamente_residentes",51803
1913,"Francia","FR","Directamente_NOresidentes",1910
1913,"Alemania","DE","Directamente total",183426
1913,"Hungría","HU","Directamente total",13170
1913,"Italia","IT","Directamente total",171
1913,"Japón","JP","Directamente total",3103
1913,"Nueva Zelandia","NZ","Directamente total",64
1913,"Noruega","NO","Directamente total",236
1913,"Portugal","PT","Directamente total",51
1913,"España","ES","Directamente total",222
1913,"Suecia","SE","Directamente total",28
1913,"Suiza","CH","Directamente total",483648
1913,"Túnez","TN","Directamente total",47
1913,"Reino Unido","GB","Directamente total",40429
1913,"Estados Unidos de América","US","Directamente total",2060
1914,"Australia","AU","Directamente total",267
1914,"Austria","AT","Directamente total",11004
1914,"Bélgica","BE","Directamente total",421
1914,"Cuba","CU","Directamente total",30
1914,"Dinamarca","DK","Directamente total",621
1914,"Francia","FR","Directamente_residentes",30458
1914,"Francia","FR","Directamente_NOresidentes",1063
1914,"Alemania","DE","Directamente total",131755
1914,"Hungría","HU","Directamente total",10898
1914,"Italia","IT","Directamente total",255
1914,"Japón","JP","Directamente total",3868
1914,"Nueva Zelandia","NZ","Directamente total",55
1914,"Noruega","NO","Directamente total",286
1914,"Portugal","PT","Directamente total",70
1914,"España","ES","Directamente total",205
1914,"Suecia","SE","Directamente total",43
1914,"Suiza","CH","Directamente total",423145
1914,"Túnez","TN","Directamente total",9
1914,"Reino Unido","GB","Directamente total",34354
1914,"Estados Unidos de América","US","Directamente total",2454
1915,"Australia","AU","Directamente total",326
1915,"Austria","AT","Directamente total",4421
1915,"Bélgica","BE","Directamente total",188
1915,"Dinamarca","DK","Directamente total",944
1915,"Francia","FR","Directamente_residentes",9945
1915,"Francia","FR","Directamente_NOresidentes",68
1915,"Hungría","HU","Directamente total",4585
1915,"Italia","IT","Directamente total",128
1915,"Japón","JP","Directamente total",3662
1915,"México","MX","Directamente total",6
1915,"Nueva Zelandia","NZ","Directamente total",89
1915,"Noruega","NO","Directamente total",239
1915,"Portugal","PT","Directamente total",78
1915,"España","ES","Directamente total",275
1915,"Suecia","SE","Directamente total",51
1915,"Suiza","CH","Directamente total",353339
1915,"Túnez","TN","Directamente_residentes",2
1915,"Reino Unido","GB","Directamente total",18130
1915,"Estados Unidos de América","US","Directamente total",2734
1916,"Australia","AU","Directamente total",298
1916,"Austria","AT","Directamente total",3307
1916,"Bélgica","BE","Directamente total",144
1916,"Dinamarca","DK","Directamente total",491
1916,"Francia","FR","Directamente_residentes",11805
1916,"Francia","FR","Directamente_NOresidentes",91
1916,"Alemania","DE","Directamente total",29981
1916,"Hungría","HU","Directamente total",3371
1916,"Italia","IT","Directamente total",50
1916,"Japón","JP","Directamente total",3109
1916,"México","MX","Directamente total",19
1916,"Nueva Zelandia","NZ","Directamente total",113
1916,"Noruega","NO","Directamente total",176
1916,"Portugal","PT","Directamente total",63
1916,"España","ES","Directamente total",236
1916,"Suecia","SE","Directamente total",47
1916,"Suiza","CH","Directamente total",398296
1916,"Túnez","TN","Directamente total",5
1916,"Reino Unido","GB","Directamente total",15399
1916,"Estados Unidos de América","US","Directamente total",2684
1917,"Australia","AU","Directamente total",266
1917,"Austria","AT","Directamente total",2303
1917,"Bélgica","BE","Directamente total",135
1917,"Dinamarca","DK","Directamente total",722
1917,"Francia","FR","Directamente_residentes",9522
1917,"Francia","FR","Directamente_NOresidentes",109
1917,"Alemania","DE","Directamente total",10327
1917,"Hungría","HU","Directamente total",2472
1917,"Italia","IT","Directamente total",103
1917,"Japón","JP","Directamente total",2763
1917,"México","MX","Directamente total",31
1917,"Nueva Zelandia","NZ","Directamente total",83
1917,"Noruega","NO","Directamente total",187
1917,"Portugal","PT","Directamente total",56
1917,"España","ES","Directamente_residentes",33
1917,"España","ES","Directamente_NOresidentes",347
1917,"Suecia","SE","Directamente total",33
1917,"Suiza","CH","Directamente total",250756
1917,"Túnez","TN","Directamente total",7
1917,"Reino Unido","GB","Directamente total",13208
1917,"Estados Unidos de América","US","Directamente total",2545
1918,"Australia","AU","Directamente total",262
1918,"Austria","AT","Directamente total",2076
1918,"Bélgica","BE","Directamente total",62
1918,"Cuba","CU","Directamente total",6
1918,"Dinamarca","DK","Directamente total",1018
1918,"Francia","FR","Directamente_residentes",6486
1918,"Francia","FR","Directamente_NOresidentes",46
1918,"Alemania","DE","Directamente total",7650
1918,"Hungría","HU","Directamente total",1926
1918,"Italia","IT","Directamente total",116
1918,"Japón","JP","Directamente total",2673
1918,"México","MX","Directamente total",36
1918,"Nueva Zelandia","NZ","Directamente total",53
1918,"Noruega","NO","Directamente total",312
1918,"Portugal","PT","Directamente total",51
1918,"España","ES","Directamente total",171
1918,"Suecia","SE","Directamente total",46
1918,"Suiza","CH","Directamente total",178390
1918,"Túnez","TN","Directamente total",9
1918,"Reino Unido","GB","Directamente total",10019
1918,"Estados Unidos de América","US","Directamente total",2234
1919,"Australia","AU","Directamente total",256
1919,"Austria","AT","Directamente total",1876
1919,"Bélgica","BE","Directamente total",206
1919,"Dinamarca","DK","Directamente total",678
1919,"Francia","FR","Directamente_residentes",13298
1919,"Francia","FR","Directamente_NOresidentes",195
1919,"Alemania","DE","Directamente total",16195
1919,"Hungría","HU","Directamente total",102
1919,"Italia","IT","Directamente total",174
1919,"Japón","JP","Directamente total",3011
1919,"México","MX","Directamente total",49
1919,"Marruecos","MA","Directamente total",3
1919,"Nueva Zelandia","NZ","Directamente total",73
1919,"Noruega","NO","Directamente total",299
1919,"Polonia","PL","Directamente total",147
1919,"Portugal","PT","Directamente total",55
1919,"España","ES","Directamente total",199
1919,"Suecia","SE","Directamente total",53
1919,"Suiza","CH","Directamente total",181603
1919,"Túnez","TN","Directamente total",3
1919,"Reino Unido","GB","Directamente total",14094
1919,"Estados Unidos de América","US","Directamente total",3627
1920,"Australia","AU","Directamente total",278
1920,"Austria","AT","Directamente total",2130
1920,"Bélgica","BE","Directamente total",349
1920,"Dinamarca","DK","Directamente total",776
1920,"Francia","FR","Directamente_residentes",19498
1920,"Francia","FR","Directamente_NOresidentes",161
1920,"Alemania","DE","Directamente total",24975
1920,"Hungría","HU","Directamente total",448
1920,"Italia","IT","Directamente total",155
1920,"Japón","JP","Directamente total",2776
1920,"México","MX","Directamente total",72
1920,"Marruecos","MA","Directamente total",3
1920,"Noruega","NO","Directamente total",331
1920,"Polonia","PL","Directamente total",194
1920,"Portugal","PT","Directamente total",49
1920,"España","ES","Directamente total",168
1920,"Suecia","SE","Directamente total",54
1920,"Suiza","CH","Directamente total",252868
1920,"Túnez","TN","Directamente total",7
1920,"Reino Unido","GB","Directamente total",13669
1920,"Estados Unidos de América","US","Directamente total",4660
1921,"Australia","AU","Directamente total",356
1921,"Austria","AT","Directamente total",2680
1921,"Bélgica","BE","Directamente total",351
1921,"Canadá","CA","Directamente total",316
1921,"Dinamarca","DK","Directamente total",915
1921,"Francia","FR","Directamente_residentes",13154
1921,"Francia","FR","Directamente_NOresidentes",155
1921,"Alemania","DE","Directamente total",38310
1921,"Hungría","HU","Directamente total",336
1921,"Italia","IT","Directamente total",263
1921,"Japón","JP","Directamente total",2785
1921,"México","MX","Directamente total",61
1921,"Marruecos","MA","Directamente total",2
1921,"Nueva Zelandia","NZ","Directamente total",141
1921,"Noruega","NO","Directamente total",322
1921,"Polonia","PL","Directamente total",202
1921,"Portugal","PT","Directamente total",98
1921,"España","ES","Directamente total",256
1921,"Suecia","SE","Directamente total",56
1921,"Suiza","CH","Directamente total",144869
1921,"Túnez","TN","Directamente total",19
1921,"Reino Unido","GB","Directamente total",13387
1921,"Estados Unidos de América","US","Directamente total",5596
1922,"Australia","AU","Directamente total",427
1922,"Austria","AT","Directamente total",4571
1922,"Bélgica","BE","Directamente total",573
1922,"Dinamarca","DK","Directamente total",1315
1922,"Francia","FR","Directamente_residentes",31237
